label,system,code,display,aliases
CONDITION,ICD-10-CN,SYN-CN-DX-001,星芒性热病,星芒热病|星芒热症
CONDITION,ICD-10-CN,SYN-CN-DX-002,青岚咳症,青岚久咳|青岚咳病
CONDITION,ICD-10-CN,SYN-CN-DX-003,玉衡脉紊,玉衡脉乱|玉衡脉症
CONDITION,ICD-10-CN,SYN-CN-DX-004,雾松皮症,雾松皮疹|雾松肤症
CONDITION,ICD-10-CN,SYN-CN-DX-005,云川息弱,云川气弱|云川息症
CONDITION,ICD-10-CN,SYN-CN-DX-006,月桥眠障,月桥失眠|月桥睡障
MEDICATION,CN-DRUG,SYN-CN-DRUG-001,晨露安片,晨露安|晨露片
MEDICATION,CN-DRUG,SYN-CN-DRUG-002,云舟宁胶囊,云舟宁|云舟胶囊
MEDICATION,CN-DRUG,SYN-CN-DRUG-003,星河定颗粒,星河定|星河颗粒
MEDICATION,CN-DRUG,SYN-CN-DRUG-004,青羽舒丸,青羽舒|青羽丸
MEDICATION,CN-DRUG,SYN-CN-DRUG-005,玉泉和口服液,玉泉和|玉泉口服液
MEDICATION,CN-DRUG,SYN-CN-DRUG-006,松影平散,松影平|松影散
